"dataset_name","id","author_id","conversation_id","text","source","retweet_count","reply_count","like_count","quote_count","in_reply_to_user_id"
"account - Alex__Lachance","710516877131431936","2258234934","710516877131431936","RT @CSGOLotto: DAILY GIVEAWAY

Flip Knife Doppler (Factory New)

RT and Follow to enter!

GLHF! https://t.co/lvzuKGjKZf","Twitter for iPad","11013","0","0","0",""
"account - Alex__Lachance","708698037758115840","2258234934","708698037758115840","RT @CSGOLotto: DAILY GIVEAWAY

StatTrak™ AK-47 Point Disarray

RT+Follow, more entries here: https://t.co/m1RlAs7E73

GLHF! https://t.co/OM…","Twitter Web Client","12130","0","0","0",""
"account - Alex__Lachance","702909852859961344","2258234934","702909852859961344","RT @CSGOLotto: TRIPLE TIGER TOOTH GIVEAWAY!

Bayonet, Flip, and Gut

RT+Follow, more entries here: https://t.co/7Gn3xrXI3s

GLHF! https://t…","Twitter for iPad","12566","0","0","0",""
"account - Alex__Lachance","700478804335026176","2258234934","700478804335026176","RT @CSGOLotto: FLASH GIVEAWAY! 2 HOURS ONLY!

NEW Bowie Knife Slaughter (FN)

RT+Follow, more entries here: https://t.co/a2NSThf624 https:/…","Twitter Web Client","8385","0","0","0",""
"account - Alex__Lachance","698718142726610944","2258234934","698718142726610944","RT @CSGOLotto: DOPPLER COMBO GIVEAWAY!

FN Karambit &amp; FN Bayonet

RT+Follow, more ways to enter here: https://t.co/PkGBer4Ex5

GLHF https:/…","Twitter Web Client","9768","0","0","0",""
"account - Alex__Lachance","697928727867604993","2258234934","697928727867604993","RT @CSGOLotto: DAILY GIVEAWAY!

Butterfly Knife Fade (Fac New)

RT+Follow, more ways to enter here: https://t.co/mBEFZHw1qz

GLHF! https://…","Twitter Web Client","8752","0","0","0",""
"account - Alex__Lachance","697928709190389760","2258234934","697928709190389760","RT @CSGOLotto: DAILY GIVEAWAY!

M9 Bayonet Case Hardened

RT+Follow, more ways to enter here: https://t.co/Tsp7PY8z2i 

GLHF! https://t.co/…","Twitter Web Client","8336","0","0","0",""
"account - Alex__Lachance","696836164444143616","2258234934","696836164444143616","@CaptainSparklez https://t.co/p4Fsr55sfq","Twitter Web Client","0","0","0","0","153918448"
"account - Alex__Lachance","696748760525885440","2258234934","696748760525885440","RT @CSGOLotto: DAILY GIVEAWAY!

M9 Bayonet SAPPHIRE ($1500+)

RT+Follow, more ways to enter here: https://t.co/L0BRWN82CV 

GLHF! https://t…","Twitter for iPad","15098","0","0","0",""
"account - Alex__Lachance","693642524976680960","2258234934","693642524976680960","@alexmax1085 REND MOI MON NOW","Twitter Web Client","0","0","0","0","841386085"
"account - Alex__Lachance","692123381550948354","2258234934","692123381550948354","I'm in the running to win an Alienware Steam Machine in @JackFrags Competition! https://t.co/YVS8GuEEIA","Twitter Web Client","0","0","0","0",""
"account - Alex__Lachance","676943720332304385","2258234934","676943720332304385","I just entered the TechnoBuffalo $750 Tech Shopping Spree Giveaway from @TechnoBuffalo  https://t.co/1H9RixOdgH #TBTechShoppingSpree","Twitter Web Client","0","0","0","0",""
"account - Alex__Lachance","676891393206431745","2258234934","676891393206431745","I'm in the running to win an Nvidia Shield in @JackFrags Competition! https://t.co/9wgV5Svnnb","Twitter Web Client","0","0","0","0",""
"account - Alex__Lachance","675788118440730624","2258234934","675788118440730624","RT @CSGOLotto: DAILY KNIFE GIVEAWAY!

Gut Knife Marble Fade

RT+Follow, more ways to enter here: https://t.co/Goip5ZB6Hp

GLHF! https://t.c…","Twitter Web Client","5273","0","0","0",""
"account - Alex__Lachance","674403878985728000","2258234934","674403878985728000","RT @jk_rowling: How horrible.  Voldemort was nowhere near as bad. https://t.co/hFO0XmOpPH","Twitter Web Client","201759","0","0","0",""
"account - Alex__Lachance","673299643401420800","2258234934","673299643401420800","RT @ProSyndicate: 😂 https://t.co/KoGdTg2LLw","Twitter Web Client","1114","0","0","0",""
"account - Alex__Lachance","672188205886799872","2258234934","672188205886799872","RT @CSGOLotto: DAILY KNIFE GIVEAWAY!

Bayonet Safari Mesh

RT+Follow, more ways to enter here: https://t.co/5hphl2HoXE

GLHF! https://t.co/…","Twitter Web Client","7328","0","0","0",""
"account - Alex__Lachance","672188110218928128","2258234934","672188110218928128","RT @CSGOLotto: AWP DRAGON LORE (FN) GIVEAWAY

RT+Follow, more ways to enter here: https://t.co/vjKh4NNYHh

Winner drawn 12/25. GLHF https:/…","Twitter Web Client","40430","0","0","0",""
"account - Alex__Lachance","671836318977105924","2258234934","671836318977105924","RT @ImCotyy: WHAT?! @Twitch hello?? https://t.co/WV2g3ITXp3","Twitter Web Client","882","0","0","0",""
"account - Alex__Lachance","671066299867529218","2258234934","671066299867529218","RT @TopAchat: Concours #PetitPapaTopAchat 

Go pour le #lot2 à 1664 € !

Pour participer, RT + Follow @TopAchat :-) https://t.co/yEXFpz7SmO","Twitter Web Client","15266","0","0","0",""
